NAME,CATEGORY,ADDRESS,CITY,REGION,ZIP CODE,PHONE,EMAIL,WEBSITE,SCORE,RATINGS,FACEBOOK,INSTAGRAM,LINKEDIN,TWITTER,MAIN IMAGE URL,DESCRIPTION,ABOUT,OPENING HOURS
West LA 3D Printing,"3D printing service, Industrial design company","8076 Cowan Ave, Los Angeles, CA 90045",Los Angeles,California,90045,13107601131.0,,http://www.westla3dprinting.com/,5.0,21.0,https://www.facebook.com/wla3dprinting/,,,,,,,"Monday: 11 AM–7 PM, Tuesday: 11 AM–7 PM, Wednesday: 11 AM–7 PM, Thursday: 11 AM–7 PM, Friday: 11 AM–7 PM, Saturday: 11 AM–7 PM, Sunday: Closed"
Jazes New Generation Print,Screen printing shop,"6200 Avalon Blvd, Los Angeles, CA 90003",Los Angeles,California,90003,13238404465.0,,,5.0,1.0,,,,,,,,"Monday: 8 AM–6 PM, Tuesday: 8 AM–6 PM, Wednesday: 8 AM–6 PM, Thursday: 8 AM–6 PM, Friday: 8 AM–6 PM, Saturday: 8 AM–6 PM, Sunday: Closed"
Hollywood 3D Printing,"3D printing service, Design engineer, Fabrication engineer, Manufacturer, Model design company, Plastic fabrication company, Model shop, Trophy shop","750 N San Vicente Blvd ste 800, West Hollywood, CA 90069",West Hollywood,California,90069,13236457640.0,service@hollywood3dprinting.com,https://www.hollywood3dprinting.com/,4.8,73.0,,,https://www.linkedin.com/company/hollywood-3d-printing,,https://lh3.googleusercontent.com/p/AF1QipMBDuZn2FDlDj8k4If-ZcNpDNuW-VtdcDWzxama,,,"Monday: 9 AM–6:30 PM, Tuesday: 9 AM–6:30 PM, Wednesday: 9 AM–6:30 PM, Thursday: 9 AM–6:30 PM, Friday: 9 AM–6:30 PM, Saturday: Closed, Sunday: Closed"
United 3D Printing,3D printing service,"606 S Hill St Ste 1010, Los Angeles, CA 90014",Los Angeles,California,90014,12134891193.0,design@ecadcam.com,http://www.ecadcam.com/,,,,,,,,,,"Monday: 8 AM–5:30 PM, Tuesday: 8 AM–5:30 PM, Wednesday: 8 AM–5:30 PM, Thursday: 8 AM–5:30 PM, Friday: 8 AM–5:30 PM, Saturday: 10 AM–2 PM, Sunday: 10 AM–1 PM"
GR PRINTING SHOP,"Print shop, Banner store, Commercial printer, Digital printing service, Flag store, Sign shop","7314 Pacific Blvd, Walnut Park, CA 90255",Walnut Park,California,90255,13233605654.0,,,5.0,4.0,,,,,https://lh3.googleusercontent.com/p/AF1QipO8x9Opyysw6pY28Tou7Aju4QNOwwgCJr8K49Sg,,,"Monday: 10 AM–5 PM, Tuesday: 10 AM–5 PM, Wednesday: 10 AM–5 PM, Thursday: 10 AM–5 PM, Friday: 10 AM–5 PM, Saturday: 10 AM–2 PM, Sunday: Closed"
Cerritos 3D Printing,3D printing service,"16710 Cedarwood Cir, Cerritos, CA 90703",Cerritos,California,90703,,,,5.0,1.0,,,,,,,,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours"
HTS 3D Prints,3D printing service,"124 Cliff St, Middleburgh, NY 12122",Middleburgh,New York,12122,15186690575.0,,https://sites.google.com/view/hts3dprints/home,5.0,1.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
Access 3D Services,"3D printing service, Machine shop","300 Long Beach Blvd #1, Stratford, CT 06615",Stratford,Connecticut,6615,12033455659.0,,http://www.access3dservices.com/,5.0,30.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerFyOYS7OFlpodERXrrUzJc0SQvHwQa8kbLmEGq8apCvbAek8GHMQbVlxmmzjk3rL9yVdBpnymu-4oilLqcOd8BEYQ7Uw8LCWMYRNU0-edhyKGYjoOJ0BWmJIo6uswj9Ev2WV-U,,,"Monday: 8:30 AM–4:30 PM, Tuesday: 8:30 AM–4:30 PM, Wednesday: 8:30 AM–4:30 PM, Thursday: 8:30 AM–4:30 PM, Friday: 8:30 AM–4:30 PM, Saturday: Closed, Sunday: Closed"
1StopPrintz,3D printing service,"378 East Ave, Bridgeport, CT 06610",Bridgeport,Connecticut,6610,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
"Universal Printing and Mailing Services, Inc.","Print shop, Commercial printer, Digital printer, Digital printing service, Graphic designer, Invitation printing service, Mailing service, Marketing agency, Sign shop","75 Ardmore St, Fairfield, CT 06824",Fairfield,Connecticut,6824,12033300611.0,shelley@universalprinting4u.com,http://www.universalprinting4u.com/,5.0,6.0,https://www.facebook.com/universalprinting4u,,https://www.linkedin.com/in/bill-llewellyn-96311b6,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepl1neeclwVjDTPdXuyk-yRUchYKTRygXTbm-eCZGp1H6y6xT5k2M-MmKhs2E38-gUpfksv6tMnKv8YDkLzapCO549Zq6EVxr0gKGPkPGtDxdEoJaVEN36ujPZIGQo3L1KOiqhlX1oFyx_o,,,"Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: Closed, Sunday: Closed"
Aerphos Forgeworks,3D printing service,"167 Kennedy Dr, Bridgeport, CT 06606",Bridgeport,Connecticut,6606,12038937383.0,,,,,,,,,,,,
Executive Printing,Commercial printer,"2085 Madison Ave, Bridgeport, CT 06606",Bridgeport,Connecticut,6606,12033731333.0,,,5.0,5.0,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
Kirk's 3d Printing and Design,3D printing service,"11 Averly Pl, Smithtown, NY 11787",Smithtown,New York,11787,16312416971.0,info@kirks3dprintshop.com,https://www.kirks3dprintshop.com/,5.0,4.0,https://www.facebook.com/kirks3dprintinganddesign,https://www.instagram.com/kirks3dprintshop,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqgh3bUkAwVx-luOge9kmmE0uMJLZz1dhw7mq7XyIubRikHe66js7dIE_Klw4N29jUF6xjOo5163wGqMZx7XjNgrq0Zk52NetYnB1xNefnUmit_aCPPgfX-i0IzUq7sMSiFflpurQ,,,"Monday: 9 AM–10 PM, Tuesday: 9 AM–10 PM, Wednesday: 9 AM–10 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: 9 AM–5 PM, Sunday: 9 AM–5 PM"
3D Part Factory,3D printing service,"8 Bayberry Ct, Holtsville, NY 11742",Holtsville,New York,11742,16313123672.0,admin@jbs3dpartfactory.com,https://jbs3dpartfactory.com/,5.0,30.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZ4hca_bV5nr9YOWPyzN2p9Mej0YNlcL5IPMyVxivmgYvVbiJR05SU3knG23YLcvsxLVmpckzCKQdj_m-JZDMgKbj61LIw8gmZKsF-Qmq63N22cKO1aTY39TFukb6KiYWA3byg,,,"Monday: 8:30 AM–5 PM, Tuesday: 8:30 AM–5 PM, Wednesday: 8:30 AM–5 PM, Thursday: 8:30 AM–5 PM, Friday: 8:30 AM–5 PM, Saturday: Closed, Sunday: Closed"
3D Scanning Company 3DXYZ,3D printing service,"10 Bridgeport Ave, Milford, CT 06460",Milford,Connecticut,6460,14752141392.0,ct3dxyz@gmail.com,https://3dxyz.xyz/,5.0,8.0,,https://www.instagram.com/shawdon15,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNHuj2ldGlIovK9i_PkfPA5Iem8ARZzNsG8U59Aj6HVmW9ZcOFMIGxG_QmXYMohigGsYI81pbQuvR_7-5eY7RwY8S8QnMotNOKpeQngYusvh8DNvMTpGPXb-1GrjhIQakOenqWMJTYGDBV,,,"Monday: 9 AM–8 PM, Tuesday: 9 AM–8 PM, Wednesday: 9 AM–8 PM, Thursday: 9 AM–8 PM, Friday: 9 AM–8 PM, Saturday: Closed, Sunday: Closed"
A Family Copy Center,"Blueprint service, Copy shop, Print shop","30 Ferry Blvd Unit 1, Stratford, CT 06615",Stratford,Connecticut,6615,14752250577.0,,,5.0,7.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqLw2qnLp4AkWhanrrjXAW4LRol_bIfZO-1cBllK3ubYvLZGkElh80V1XFqeMjmEzZ7WuzLSOhk5njaRH3Xx9-5B1XS-XacNoynV5NWlRnGvwVdtNjDj3kKPsEJ0UvOzU0V3Wrn,,,
Premier,"Commercial printer, Custom label printer, Digital printer, Mailing service, Print shop","860 Honeyspot Rd, Stratford, CT 06615",Stratford,Connecticut,6615,12033786200.0,,http://www.premieruplink.com/,4.0,4.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqUkyQht2zZ8JdLfRTXoEZGe-rzsG_wK7Nrfaup5oh3Op5SRiv5aYIWmvc8TQmIJ1o1SX2GnBcsoWzb62vMZR5Xnu8mhJi7F0DOd41bp8cUb19itfR6Hkxhnv_FTQ-ALJS_0cS3,,,"Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM, Saturday: Closed, Sunday: Closed"
Arcas 3D Printing,3D printing service,"20 Heritage Dr, Lexington, MA 02420",Lexington,Massachusetts,2420,,,,,,,,,,,,,
Printwithme.xyz,"3D printing service, Engineering consultant","240 Appleton St, Arlington, MA 02476",Arlington,Massachusetts,2476,16172130490.0,,https://printwithme.xyz/,5.0,1.0,https://www.facebook.com/people/printwithmexyz/100093508093245/,,https://www.linkedin.com/company/printwithmexyz,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqy1UMcO0WMhu2I0gsri8ollBuGZ7Cn7Z8YUINCnA_FK3YJHMxbr5UcXzywNnGG3CaNAOpAAvyPs1vBKDb8pXN0rU4h3Au0Z_kwPvxK-6Ri9XVbYAhxtpv9IQ2lKyEesitjClEj,,,"Monday: 10 AM–5 PM, Tuesday: 10 AM–5 PM, Wednesday: 10 AM–5 PM, Thursday: 10 AM–5 PM, Friday: 10 AM–5 PM, Saturday: Closed, Sunday: Closed"
Zenith 3D Prints,3D printing service,"20 Heritage Dr, Lexington, MA 02420",Lexington,Massachusetts,2420,16175759508.0,asxvmprobertest@gmail.com,https://sites.google.com/lexingtonma.org/zenith3dprinting/home,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,"Monday: 4–6 PM, Tuesday: 4–6 PM, Wednesday: 4–6 PM, Thursday: 4–6 PM, Friday: 4–6 PM, Saturday: Closed, Sunday: Closed"
3D CAYUGA,3D printing service,"1015 Livingston St, Tewksbury, MA 01876",Tewksbury,Massachusetts,1876,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,,
Upside Parts LLC,3D printing service,"121 Loring Ave STE 910, Salem, MA 01970",Salem,Massachusetts,1970,18557552242.0,sales@upsideparts.com,https://www.upsideparts.com/3d-printing,5.0,15.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerzHpb_aZsLBrWVBcEegDLEvofWPLfnsow1KpQ_dshgkfvz0QgRphF7xFnRTReUJBNAGMbGU-5dKK_cUl9hPZ3j68FeLxn9l2A8LXiqoWcRbbqE9k2UvPcoVl5JXTGBBOXJur_X,,,"Monday: 10 AM–7 PM, Tuesday: 10 AM–7 PM, Wednesday: 10 AM–7 PM, Thursday: 10 AM–7 PM, Friday: 10 AM–7 PM, Saturday: Closed, Sunday: Closed"
North Shore Printing,Commercial printer,"281 Main St, North Reading, MA 01864",North Reading,Massachusetts,1864,19786642609.0,keith@northshoreprint.com,http://northshoreprint.com/,4.8,18.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoWneZT0g57-Kntr2upNmBqyICn492ZEdIIZC03fieYf9_H4XIIYEBJOhdK7Y1Jv-C-hVyNE0fNfqeqAZ8wrKsRwskMEn7hTp6rcO3ibJ2jnzcFRUIAJ1nQh9ajFOAtFhmesobv,,,"Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–4 PM, Saturday: Closed, Sunday: Closed"
Lume 3D,3D printing service,"9 Knapp St, Boston, MA 02111",Boston,Massachusetts,2111,16175719995.0,info@omnipro3d.com,https://www.lume3d.co/,5.0,10.0,,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqxyv7Kyj1EdTsEyMh0BDzpXHG8jjwguBZeZhoMKqD5YaIY8u_hy3BMJ2tjqfMjL0uyoIRN680ubGqwoZWGzjiqf5kEJuIpxrvG_WBSnxD90EHH_xe08BwIQIdtaroP9cjKbXxAywZrNoc,,,"Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: 9 AM–5 PM, Sunday: Closed"
